Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,ECR error ,Gate time (ns),Operational,measure time (ns),x time (ns),rz time (ns),i time (ns),sx time (ns),reset time (ns)
59,319.1281776196938,226.00308778664296,5.016360085603369,-0.3065300599941546,0.0678999999999999,0.0647999999999999,0.071,4000,0.0002570066584659,0,0.0002570066584659,0.0002570066584659,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
60,23.86864845689599,47.91021816027685,5.112574514913633,-0.3054937994423591,0.2059999999999999,0.2292,0.1827999999999999,4000,0.1521336186889629,0,0.1521336186889629,0.1521336186889629,60_59:1;60_53:1,60_59:660;60_53:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
61,318.95372929502395,205.812398946186,4.9117112239489655,-0.3085000780263203,0.2512,0.2528,0.2496,4000,0.0004953177626415,0,0.0004953177626415,0.0004953177626415,61_60:1,61_60:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
62,48.79784819234644,82.25954244497036,5.015455464719222,-0.3066993137320213,0.4036999999999999,0.3722,0.4352,4000,0.0020045733709745,0,0.0020045733709745,0.0020045733709745,62_61:0.014347567359202007,62_61:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
63,162.52950849465867,237.86932033917225,5.080297889326332,-0.3068352995043796,0.0123999999999999,0.0086,0.0161999999999999,4000,0.0004883992717567,0,0.0004883992717567,0.0004883992717567,63_62:0.026604532326362063,63_62:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
64,105.76716993007884,74.92401457376847,5.280722655632863,-0.3037543523871238,0.0323999999999999,0.0308,0.034,4000,0.0006464544591424,0,0.0006464544591424,0.0006464544591424,64_63:0.017165008515279995;64_65:0.024592466723806022;64_54:0.017139720076585346,64_63:660;64_65:660;64_54:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
65,169.1818882241957,50.80343871258837,5.251502086418665,-0.275963523592144,0.0505999999999999,0.0527999999999999,0.0484,4000,0.000653764919569,0,0.000653764919569,0.000653764919569,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
66,217.2778697316553,15.971620414569182,5.185828008917906,-0.3042898825235449,0.0285999999999999,0.0173999999999999,0.0398,4000,0.0007666678323903,0,0.0007666678323903,0.0007666678323903,66_73:0.02409958611109747;66_67:0.013309217182044919;66_65:0.012818324755626803,66_73:660;66_67:660;66_65:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
67,113.9521037419042,83.9858925002876,5.382844925245517,-0.3010751526585249,0.0153999999999999,0.0126,0.0181999999999999,4000,0.0004257267274093,0,0.0004257267274093,0.0004257267274093,67_68:0.013278339977746523,67_68:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
68,210.14544194509972,158.29281461867922,5.115428140074493,-0.3047002264590061,0.0319,0.0365999999999999,0.0272,4000,0.0002545367544053,0,0.0002545367544053,0.0002545367544053,68_55:0.008820319666890702,68_55:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
69,173.15165984888154,204.7936478902325,5.063392810318696,-0.3048241681857833,0.0453,0.0504,0.0402,4000,0.0007651397519781,0,0.0007651397519781,0.0007651397519781,69_68:0.02791082125841965,69_68:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
70,181.1567525276064,81.47946771759626,5.203328347599348,-0.3031317276297297,0.0147999999999999,0.0181999999999999,0.0114,4000,0.0003691226582881,0,0.0003691226582881,0.0003691226582881,70_69:0.016972631495285384;70_74:0.008694819172555768,70_69:660;70_74:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
71,85.06585596593213,43.686731800434565,5.040608403235575,-0.3066044126446907,0.0258,0.0175999999999999,0.034,4000,0.0002888955055559,0,0.0002888955055559,0.0002888955055559,71_77:0.010110073312064677;71_58:0.00980002747634992,71_77:660;71_58:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
72,135.56512317268275,88.56230529460888,5.077857400114716,-0.3049165500673834,0.0217,0.0252,0.0182,4000,0.0008676507303225,0,0.0008676507303225,0.0008676507303225,72_81:0.010391724399588187;72_62:0.02875207886522621,72_81:660;72_62:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
73,96.35336402627956,67.4190393015569,4.975956103299739,-0.3087797160488346,0.0228999999999999,0.0273999999999999,0.0184,4000,0.0002727838391773,0,0.0002727838391773,0.0002727838391773,73_85:0.013949955430010319,73_85:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
74,182.6119160497952,101.48260860966016,5.115306293741281,-0.3046844338650276,0.0185999999999999,0.0191999999999999,0.018,4000,0.0002557913742575,0,0.0002557913742575,0.0002557913742575,74_89:0.008591081844701698,74_89:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
75,138.49350112754678,25.695945759443987,5.129230507799727,-0.3045138618524563,0.0124999999999999,0.0145999999999999,0.0104,4000,0.0004508925813807,0,0.0004508925813807,0.0004508925813807,75_90:0.022942254308443738;75_76:0.012940871692666917,75_90:660;75_76:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
76,184.137561813632,141.92528901977764,5.001366826084087,-0.3076057163566353,0.0652999999999999,0.0417999999999999,0.0888,4000,0.0009105281667137,0,0.0009105281667137,0.0009105281667137,76_77:0.011770283456783326,76_77:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
77,290.6372535566425,17.028194986071846,4.94204891234224,-0.3091917951227223,0.0466999999999999,0.048,0.0453999999999999,4000,0.0003526082020026,0,0.0003526082020026,0.0003526082020026,77_78:0.01706750796110096,77_78:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
78,327.724143437232,23.02407388177418,4.819450681222663,-0.3098761354201418,0.0373999999999999,0.0433999999999999,0.0314,4000,0.000670473633994,0,0.000670473633994,0.000670473633994,78_79:0.019174485881288006,78_79:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
79,244.1655463876756,18.113291760253976,4.926341381387657,-0.3086275788109418,0.0241,0.0262,0.022,4000,0.0002511262516339,0,0.0002511262516339,0.0002511262516339,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
80,225.19967984155,202.45744013064572,4.992241550086929,-0.307719444303648,0.0176,0.0143999999999999,0.0208,4000,0.0002520642700924,0,0.0002520642700924,0.0002520642700924,80_81:0.00843320034523884;80_79:0.00804404894177424,80_81:660;80_79:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
81,144.4355528790598,163.10505876885415,5.153433942768639,-0.3050642928746577,0.0313999999999999,0.0236,0.0392,4000,0.0002671705231387,0,0.0002671705231387,0.0002671705231387,81_82:0.009805525600061621,81_82:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
82,137.53042662481363,189.19682849519097,5.204842655147179,-0.3045535198049522,0.008,0.012,0.004,4000,0.000299306523383,0,0.000299306523383,0.000299306523383,82_83:0.017791947297321614,82_83:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
83,168.82891924146162,149.2670789461136,5.102687885651513,-0.3062977471599376,0.0442,0.0477999999999999,0.0406,4000,0.0011952283931415,0,0.0011952283931415,0.0011952283931415,83_84:0.017735952540330002,83_84:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
84,160.16514640800798,116.62234347274251,5.050233314388422,-0.3051089963906093,0.0605999999999999,0.061,0.0602,4000,0.0002396216745688,0,0.0002396216745688,0.0002396216745688,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
85,232.22278216006032,103.61686636903468,5.099888310027992,-0.3056384067163472,0.0098,0.0108,0.0088,4000,0.0007482761688059,0,0.0007482761688059,0.0007482761688059,85_86:0.014965189540383284;85_84:0.01889489294637864,85_86:660;85_84:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
86,87.2916587012407,33.420803437320714,5.202137257828197,-0.3030240253013421,0.0143999999999999,0.0145999999999999,0.0142,4000,0.0008235898412611,0,0.0008235898412611,0.0008235898412611,86_87:0.01182274053437743,86_87:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
87,132.79976649496317,26.94053824230464,5.283776591183631,0.0,0.0164999999999999,0.017,0.016,4000,0.00044988808461,0,0.00044988808461,0.00044988808461,87_88:0.01337715816022858,87_88:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
88,128.6903399935683,86.94508261771887,5.179361431897134,-0.3039739472445793,0.0088999999999999,0.0103999999999999,0.0074,4000,0.0004074835833004,0,0.0004074835833004,0.0004074835833004,88_89:0.00928174318123473,88_89:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
