Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
80,145.22019767318776,185.45989864071103,0,0,0.01,0.0113999999999999,0.0086,1560,0.0002581517486721,0,0.0002581517486721,0.0002581517486721,80_81:0.0016315469316837972,80_81:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
81,222.19954590665745,22.957827859394985,0,0,0.0534999999999999,0.0552,0.0518,1560,0.0001764017122984,0,0.0001764017122984,0.0001764017122984,81_82:0.0036740629696224436;81_76:0.0020897254725127934;81_80:0.0016315469316837972,81_82:68;81_76:68;81_80:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
82,66.12956957086654,37.76472588442175,0,0,0.0157,0.0153999999999999,0.016,1560,0.0002020155094224,0,0.0002020155094224,0.0002020155094224,82_81:0.0036740629696224436;82_83:0.008166877163966163,82_81:68;82_83:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
83,197.2989900053329,215.42877258668864,0,0,0.0528999999999999,0.0526,0.0532,1560,0.0001937322486938,0,0.0001937322486938,0.0001937322486938,83_96:0.0025140383999332216;83_84:0.002886454130012095;83_82:0.008166877163966163,83_96:68;83_84:68;83_82:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
84,166.80146919805802,143.5201628038398,0,0,0.0065999999999999,0.0103999999999999,0.0028,1560,0.0002510519216334,0,0.0002510519216334,0.0002510519216334,84_85:0.00249764964972371;84_83:0.002886454130012095,84_85:68;84_83:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
85,137.63004377769366,27.534882387093283,0,0,0.0109,0.0178,0.004,1560,0.0002485462171595,0,0.0002485462171595,0.0002485462171595,85_84:0.00249764964972371;85_86:0.0027940216868721224;85_77:0.002875585783321033,85_84:68;85_86:68;85_77:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
86,100.24075608030684,95.47052340899698,0,0,0.0137,0.0188,0.0086,1560,0.0002441462227637,0,0.0002441462227637,0.0002441462227637,86_87:0.0020615453810975404;86_85:0.0027940216868721224,86_87:68;86_85:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
87,204.4940211637721,320.3306850462003,0,0,0.0328999999999999,0.0292,0.0366,1560,0.0002469557176592,0,0.0002469557176592,0.0002469557176592,87_86:0.0020615453810975404;87_97:0.0029837397637076934;87_88:0.002049640548646814,87_86:68;87_97:68;87_88:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
88,39.82883970460162,82.24313470125622,0,0,0.0059,0.0093999999999999,0.0024,1560,0.0003122228588248,0,0.0003122228588248,0.0003122228588248,88_89:0.003606659518154698;88_87:0.002049640548646814,88_89:68;88_87:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
89,194.9964641532196,91.7592643533296,0,0,0.0321,0.044,0.0201999999999999,1560,0.0002181990267025,0,0.0002181990267025,0.0002181990267025,89_90:0.0035709435093837227;89_88:0.003606659518154698;89_78:0.0038318508766966852,89_90:68;89_88:68;89_78:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
90,157.44674013991013,133.37052657886295,0,0,0.0164999999999999,0.02,0.013,1560,0.0001848886232204,0,0.0001848886232204,0.0001848886232204,90_91:0.004155235942960439;90_89:0.0035709435093837227,90_91:68;90_89:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
91,156.30827282330625,16.26852327512182,0,0,0.0245999999999999,0.0282,0.021,1560,0.0001459773215126,0,0.0001459773215126,0.0001459773215126,91_90:0.004155235942960439;91_92:0.0024248020033145468;91_98:0.0016889543239047566,91_90:68;91_92:68;91_98:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
92,98.0488852994445,79.94898598251629,0,0,0.0099,0.016,0.0038,1560,0.0003158619858355,0,0.0003158619858355,0.0003158619858355,92_93:0.0024683137695373225;92_91:0.0024248020033145468,92_93:68;92_91:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
93,213.70364111794123,75.33357117028947,0,0,0.125,0.1268,0.1232,1560,0.0002869387219531,0,0.0002869387219531,0.0002869387219531,93_94:0.007576034213599148;93_92:0.0024683137695373225;93_79:0.004054282782401941,93_94:68;93_92:68;93_79:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
94,154.85970762122935,9.134681386072192,0,0,0.0147999999999999,0.0176,0.012,1560,0.0007572973477751,0,0.0007572973477751,0.0007572973477751,94_95:0.00670311690178349;94_93:0.007576034213599148,94_95:68;94_93:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
95,158.68880906007777,58.65417130234583,0,0,0.0218,0.031,0.0126,1560,0.0003464224827179,0,0.0003464224827179,0.0003464224827179,95_94:0.00670311690178349;95_99:0.004143949059254581,95_94:68;95_99:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
96,112.92578609024144,103.53745690293596,0,0,0.0090999999999999,0.014,0.0041999999999999,1560,0.0002708652198887,0,0.0002708652198887,0.0002708652198887,96_103:0.002435212178687751;96_83:0.0025140383999332216,96_103:68;96_83:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
97,65.51348190117713,89.44923556571818,0,0,0.0089999999999998,0.0125999999999999,0.0054,1560,0.0003228352214424,0,0.0003228352214424,0.0003228352214424,97_87:0.0029837397637076934;97_107:0.0025596699401180534,97_87:68;97_107:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
98,98.70597927862212,20.670326273348454,0,0,0.0104999999999999,0.015,0.006,1560,0.000168245853819,0,0.000168245853819,0.000168245853819,98_91:0.0016889543239047566;98_111:0.0028330198863818767,98_91:68;98_111:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
99,104.5170399552327,19.477735276023218,0,0,0.0166999999999999,0.019,0.0143999999999999,1560,0.0004515634541799,0,0.0004515634541799,0.0004515634541799,99_95:0.004143949059254581;99_115:0.0033212012679739444,99_95:68;99_115:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
